251. Kc3 Rf6 
252. Rb8 Rc6 
253. Kb4 Rxc2 
254. Rf8 Rb2 
255. Kc5 Rc2 
256. Kb5 Rb2 
257. Kc5 Rc2 
258. Kb5 Rb2 
259. Kc4 Rc2 
260. Kd5 Rc3 
261. d4 Ra3 
262. Rf7 Kc8 
263. Kc5 Ra5 
264. Kc6 Ra6 
265. Kb5 Rb6 
266. Ka5 Rc6 
267. Rf8 Kb7 
268. Rf5 Ra6 
269. Kb4 Rb6 
270. Rb5 Rxb5 
271. Kxb5 Kb8 
272. d5 c5 
273. dxc6 Ka8 
274. e5 Kb8 
275. e6 Kc7 
276. e7 Kd6 
277. e8=Q Kd5 
278. Qd8 Ke6 
279. Qc8 Ke7 
280. Qb7 Kd6 
281. Qb8 Ke7 
282. Qa7 Kd6 
283. Qb8 Ke7 
284. Qa7 Kd6 
285. Qd7 Ke5 
286. Qe8 Kd6 
287. Qd8 Ke6 
288. Qc8 Ke7 
289. Qb7 Kd6 
290. Qd7 Ke5 
291. Qe8 Kd6 
292. Qf8 Ke6 
293. Qg8 Ke7 
294. Qg7 Kd6 
295. Qf8 Ke6 
296. Qg8 Ke7 
297. Qg7 Kd6 
298. Qf6 Kd5 
299. Qf7 Kd6 
300. Qf6 Kd5 
301. Qf7 Kd6 
302. Qg6 Ke7 
303. Qh7 Kd6 
304. Qg6 Ke7 
305. Qh7 Kd6 
306. Qd3 Ke7 
307. Qd7 Kf6 
308. Qd6 Kf7 
309. Qd7 Kf6 
310. Qd6 Kf7 
311. Qd5 Ke7 
312. Qe5 Kf8 
313. Qh8 Ke7 
314. Qe5 Kf8 
315. Qh8 Ke7 
316. Qh4 Kf7 
317. Qh7 Ke6 
318. Qh6 Ke7 
319. Qd2 Kf7 
320. Qd5 Ke7 
321. Qd4 Kf7 
322. Qc4 Ke8 
323. Qe6 Kf8 
324. Qd7 Kg8 
325. c7 Kf8 
326. c8=Q 
